,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
20,172,17.2,12,1,19,21,16,17,12,17,17,21,17,21,9,20,13,21,14,19,0,0,0,0,0.3327230160350515,0.9638522466122523,14.90328521343658,13.633333333333331,16.73333333333333,0.9686965593434342,0.3346666666666666,1.2699518801032494,0.09718253158075472,0.004844312731181865,0.0019436506316151052,5,16.833333333333332,0.9642143308080807,0.33666666666666667,12.25,100,986762518570,50,415.8086051940918,16.666666666666668,0.9724490214646464,0.3333333333333333,13.5,101,952039434492,50,378.4701294898987,16.75,0.9637128314393938,0.335,12.916666666666666,102,345664075654,50,437.3736433982849,16.583333333333332,0.9761362058080808,0.33166666666666667,16.0,103,460462409076,50,414.7432870864868,16.833333333333332,0.9669704071969696,0.33666666666666667,13.5,104,732505190116,50,420.5560760498047,2066.951741218567,437.54592633247375
21,143,14.3,12,1,15,21,10,21,11,16,17,21,13,20,11,18,11,20,13,16,19,21,18,21,0.46470034017147793,0.9770872581818384,19.495924438301227,18.06666666666667,23.316666666666666,0.9798740115440114,0.4663333333333334,1.4292577716345556,0.0816496580927723,0.002786753362172993,0.0016329931618554558,5,23.416666666666668,0.9796746392496392,0.4683333333333333,16.166666666666668,105,986762518570,50,402.20368218421936,23.166666666666668,0.9818474025974024,0.4633333333333333,19.833333333333332,106,952039434492,50,414.92559599876404,23.333333333333332,0.9826590167548501,0.4666666666666667,19.25,107,345664075654,50,379.66694474220276,23.333333333333332,0.9804882295173961,0.4666666666666667,16.666666666666668,108,460462409076,50,378.4045944213867,23.333333333333332,0.9747007696007695,0.4666666666666667,18.416666666666668,109,732505190116,50,465.6909430027008,2040.8917603492737,465.85098695755005
22,26,2.6,12,1,9,15,11,13,10,16,11,17,9,10,9,19,9,19,13,17,0,0,0,0,0.21065386506319828,0.9587050469759926,8.876568618025946,8.366666666666667,10.75,0.9712945601851851,0.21500000000000002,0.5099019513592783,0.21730674684008833,0.012589513209192557,0.004346134936801762,5,10.916666666666666,0.9844930555555553,0.21833333333333332,7.75,110,986762518570,50,647.705488204956,10.583333333333334,0.9693796296296295,0.21166666666666667,8.25,111,952039434492,50,738.1363801956177,10.833333333333334,0.9813975694444443,0.21666666666666667,7.916666666666667,112,345664075654,50,661.1175634860992,10.416666666666666,0.9486880787037038,0.20833333333333334,9.0,113,460462409076,50,793.2735426425934,11.0,0.9725144675925925,0.22,8.916666666666666,114,732505190116,50,699.5296919345856,3539.762666463852,793.4822692871094
23,171,17.1,12,1,18,21,15,16,11,16,18,21,15,19,16,21,9,17,12,20,19,21,15,21,0.3751759546816668,0.9665015786727505,15.550151502631673,14.633333333333335,18.833333333333336,0.9713068518518517,0.3766666666666667,0.916818169298338,0.07453559924999352,0.00480527317910121,0.0014907119849998695,5,18.833333333333332,0.9634995370370367,0.37666666666666665,14.25,115,986762518570,50,409.0910120010376,18.75,0.9765458333333331,0.375,13.833333333333334,116,952039434492,50,303.0178985595703,18.916666666666668,0.9690499999999999,0.37833333333333335,13.75,117,345664075654,50,326.91419434547424,18.75,0.9759907407407408,0.375,15.166666666666666,118,460462409076,50,307.7286009788513,18.916666666666668,0.9714481481481482,0.37833333333333335,16.166666666666668,119,732505190116,50,378.9351348876953,1725.6868407726288,409.09575486183167
24,21,2.1,12,2,17,20,19,21,16,20,13,17,15,18,15,21,14,15,15,20,0,0,0,0,0.11890571438097143,0.9523831632214479,4.25959728171317,4.066666666666666,6.183333333333333,0.9643239583333332,0.12366666666666666,0.19293061504650383,0.23804761428476154,0.01194079511188524,0.004760952285695233,5,6.583333333333333,0.9740555555555553,0.13166666666666665,4.083333333333333,120,986762518570,50,493.87267661094666,6.0,0.9805028935185185,0.12,4.416666666666667,121,952039434492,50,431.3397607803345,6.333333333333333,0.9642488425925924,0.12666666666666668,4.0,122,345664075654,50,601.9306318759918,6.0,0.9547760416666663,0.12,4.0,123,460462409076,50,680.1551632881165,6.0,0.9480364583333332,0.12,3.8333333333333335,124,732505190116,50,766.2740025520325,2973.572235107422,766.4818017482758
25,174,17.4,12,2,15,21,12,16,10,12,13,21,13,18,9,17,17,19,15,20,12,21,0,0,0.4086666666666666,0.963826541224587,17.154795804014693,15.733333333333334,20.533333333333335,0.967761951303155,0.4106666666666666,1.4214624706813603,0.09999999999999953,0.003935410078567962,0.0020000000000000052,5,20.666666666666668,0.9734254115226337,0.41333333333333333,18.166666666666668,125,986762518570,50,456.21533131599426,20.416666666666668,0.9697617455418379,0.4083333333333333,14.0,126,952039434492,50,519.4326226711273,20.583333333333332,0.9665423525377229,0.4116666666666667,14.75,127,345664075654,50,537.7915933132172,20.416666666666668,0.9676316872427984,0.4083333333333333,15.583333333333334,128,460462409076,50,527.6496574878693,20.583333333333332,0.9614485596707818,0.4116666666666667,16.166666666666668,129,732505190116,50,547.6235008239746,2588.7127056121826,548.867481470108
26,25,2.5,12,2,16,19,10,11,11,12,15,18,16,19,16,19,17,21,19,21,12,17,0,0,0.11995865386512135,0.9597999065364459,4.520435179514881,4.15,6.133333333333334,0.9630470164609051,0.12266666666666667,0.3704351795148812,0.13540064007726588,0.0032471099244592142,0.0027080128015453237,5,6.333333333333333,0.9666929012345675,0.12666666666666668,4.75,130,986762518570,50,658.900865316391,5.916666666666667,0.9630524691358021,0.11833333333333333,4.083333333333333,131,952039434492,50,628.8752100467682,6.083333333333333,0.9621255144032921,0.12166666666666667,3.9166666666666665,132,345664075654,50,605.0020673274994,6.166666666666667,0.9575077160493826,0.12333333333333334,4.333333333333333,133,460462409076,50,623.4684147834778,6.166666666666667,0.9658564814814814,0.12333333333333334,3.6666666666666665,134,732505190116,50,601.7453610897064,3117.991918563843,658.9061834812164
27,158,15.8,12,2,9,15,18,21,9,14,11,17,9,10,9,19,11,15,9,19,18,21,0,0,0.3973003268288024,0.9720213808344738,16.732520083236526,15.366666666666669,19.95,0.9763971193415637,0.399,1.3658534165698586,0.08498365855987952,0.0043757385070899235,0.0016996731711976017,5,20.083333333333332,0.9785241769547324,0.40166666666666667,14.583333333333334,135,986762518570,50,536.6697030067444,19.833333333333332,0.9808477366255143,0.39666666666666667,13.25,136,952039434492,50,501.95150113105774,19.916666666666668,0.9681882716049383,0.3983333333333333,16.166666666666668,137,345664075654,50,606.2473697662354,19.916666666666668,0.9760534979423867,0.3983333333333333,15.583333333333334,138,460462409076,50,545.291482925415,20.0,0.9783719135802469,0.4,17.25,139,732505190116,50,531.4050211906433,2721.565078020096,606.4731347560883
28,171,17.1,12,2,10,17,15,21,13,17,11,13,15,18,12,13,14,18,0,0,0,0,0,0,0.223419447537742,0.9607916823112319,8.792801625069673,8.333333333333332,11.233333333333333,0.9657559523809521,0.22466666666666665,0.4594682917363406,0.062360956446232796,0.004964270069720212,0.0012472191289246463,5,11.333333333333334,0.9606883030990172,0.22666666666666666,8.083333333333334,140,986762518570,50,422.4735610485077,11.166666666666666,0.9716241496598638,0.22333333333333333,8.083333333333334,141,952039434492,50,430.11493587493896,11.25,0.9601625094482235,0.225,8.833333333333334,142,345664075654,50,483.3810181617737,11.166666666666666,0.9649640967498108,0.22333333333333333,8.916666666666666,143,460462409076,50,439.8516173362732,11.25,0.9713407029478455,0.225,7.75,144,732505190116,50,420.44475769996643,2196.26589012146,483.5500662326813
29,122,12.2,12,2,17,21,16,21,19,21,15,18,9,17,17,20,17,21,0,0,0,0,0,0,0.2274555834730964,0.9641631016289227,9.803199223379993,8.933333333333334,11.483333333333333,0.972282341269841,0.22966666666666669,0.8698658900466594,0.11055415967851304,0.008119239640918268,0.0022110831935702718,5,11.5,0.9667314814814815,0.23,9.75,145,986762518570,50,421.73459219932556,11.416666666666666,0.9802228835978835,0.22833333333333333,9.75,146,952039434492,50,350.7351596355438,11.666666666666666,0.9724593253968253,0.23333333333333334,7.583333333333333,147,345664075654,50,389.40344762802124,11.333333333333334,0.9602189153439152,0.22666666666666666,8.25,148,460462409076,50,486.72773694992065,11.5,0.9817791005291004,0.23,9.333333333333334,149,732505190116,50,358.33857440948486,2006.9395108222961,487.0185751914978
