,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
20,49,4.9,5,1,12,13,10,14,11,14,9,13,10,12,12,14,9,10,11,13,0.16708117658368868,0.9412300872768993,16.564653825668948,9,13,0,0,13.64,17.32,0.963270061728395,0.1732,0.9748846085563152,0.20396078054371164,0.0073466581504985995,0.002039607805437107,5,17.2,0.9657150205761317,0.172,12.4,100,212399885001,100,337.1573431491852,17.4,0.9719418724279834,0.174,13.4,101,374988376638,100,268.5737636089325,17.6,0.9624537037037035,0.176,15.4,102,431053971709,100,300.6416871547699,17.4,0.9663348765432098,0.174,13.6,103,208572859484,100,287.4559428691864,17.0,0.9499048353909464,0.17,13.4,104,847390121387,100,315.9125156402588,1509.7412524223328,337.3429946899414
21,57,5.7,5,1,10,12,10,11,9,11,9,13,11,14,9,13,0,0,0,0,0.119427329309938,0.9335346476860708,13.21085355981513,0,0,0,0,9.520000000000001,12.599999999999998,0.9634367283950617,0.126,1.230284519938376,0.21908902300206698,0.009967360236330304,0.0021908902300206666,5,12.6,0.972889660493827,0.126,10.6,105,212399885001,100,207.43396759033203,12.2,0.9499652777777778,0.122,10.0,106,374988376638,100,264.8993434906006,12.8,0.9687229938271603,0.128,7.6,107,431053971709,100,199.10492634773254,12.8,0.9727314814814813,0.128,8.6,108,208572859484,100,173.9543058872223,12.6,0.9528742283950616,0.126,10.8,109,847390121387,100,254.21640491485596,1099.6089482307434,265.04786491394043
22,86,8.6,5,1,10,11,12,13,11,12,9,12,11,12,9,13,10,14,10,11,0.14807720967954885,0.9134316960647427,15.246886331559839,12,14,0,0,12.920000000000002,15.839999999999998,0.9485349794238683,0.1584,0.7756287771866127,0.34409301068170456,0.011701094453041882,0.0034409301068170535,5,15.6,0.9413040123456788,0.156,13.0,5,212399885001,100,307.22831177711487,15.8,0.9527083333333333,0.158,14.0,6,374988376638,100,246.98102688789368,16.0,0.9503189300411522,0.16,13.2,7,431053971709,100,271.7547445297241,15.4,0.9316949588477365,0.154,11.6,8,208572859484,100,310.1493203639984,16.4,0.9666486625514401,0.164,12.8,9,847390121387,100,193.56433963775635,1329.6777431964874,0.002329587936401367
23,156,15.6,5,1,11,13,10,13,12,14,11,14,10,12,11,14,11,13,12,14,0.1858606123086602,0.9594682432900243,21.147927781391346,0,0,0,0,15.719999999999999,18.880000000000003,0.9697974537037037,0.1888,1.8093092604637824,0.09797958971132678,0.0034430701378931256,0.000979795897113272,5,18.8,0.9657002314814814,0.188,14.4,55,212399885001,100,187.56690621376038,18.8,0.9672569444444443,0.188,16.0,56,374988376638,100,187.16535234451294,19.0,0.9695081018518519,0.19,13.0,57,431053971709,100,173.40978264808655,18.8,0.9757060185185185,0.188,17.4,58,208572859484,100,160.09463214874268,19.0,0.9708159722222223,0.19,17.8,59,847390121387,100,170.81292176246643,879.049595117569,0.00235748291015625
24,45,4.5,5,2,11,14,12,14,11,14,12,13,9,12,9,12,0,0,0,0,0.1016,0.9401924368801177,11.25941170815567,0,0,0,0,8.2,10.88,0.9592839506172839,0.10880000000000001,1.0198039027185566,0.23999999999999996,0.006363837912388752,0.0024000000000000024,5,10.6,0.9654783950617283,0.106,7.4,110,212399885001,100,226.00630044937134,10.6,0.9536574074074072,0.106,7.0,111,374988376638,100,232.2623221874237,11.0,0.9681712962962963,0.11,9.6,112,431053971709,100,177.35940790176392,11.2,0.9566512345679011,0.112,7.8,113,208572859484,100,225.211683511734,11.0,0.9524614197530864,0.11,9.2,114,847390121387,100,230.70259952545166,1091.5423135757446,232.4415681362152
25,155,15.5,5,2,9,11,9,13,11,14,11,12,11,12,10,11,12,13,0,0,0.124,0.9321669677695783,14.067891949879435,0,0,0,0,10.440000000000001,12.88,0.9628591269841268,0.1288,1.2092973166264782,0.16000000000000006,0.01023071973818283,0.0016000000000000016,5,13.0,0.9734887566137564,0.13,9.8,115,212399885001,100,143.26241779327393,12.6,0.9456613756613755,0.126,9.4,116,374988376638,100,217.63359999656677,13.0,0.962496693121693,0.13,9.2,117,431053971709,100,189.2092776298523,13.0,0.9730489417989416,0.13,11.8,118,208572859484,100,150.312602519989,12.8,0.9595998677248676,0.128,12.0,119,847390121387,100,180.97654795646667,881.3944458961487,217.77973008155823
26,85,8.5,5,2,10,11,12,13,12,14,9,12,11,12,9,13,10,11,12,14,0.12061580042339383,0.9064045791750657,14.490955642529915,0,0,0,0,9.52,13.2,0.9448721064814813,0.132,1.6569852141766386,0.3794733192202055,0.01282250910213856,0.0037947331922020583,5,13.0,0.9274942129629627,0.13,12.4,120,212399885001,100,291.5358169078827,12.6,0.9316232638888888,0.126,10.2,121,374988376638,100,283.2466821670532,13.6,0.952372685185185,0.136,8.2,122,431053971709,100,227.49198985099792,13.2,0.9596672453703703,0.132,9.0,123,208572859484,100,209.3077516555786,13.6,0.9532031249999999,0.136,7.8,124,847390121387,100,230.71195888519287,1242.2941994667053,291.54309034347534
27,48,4.8,5,2,10,14,10,11,10,11,11,14,10,11,9,12,11,14,10,11,0.13466120402024967,0.9352232234834044,13.051970149069014,12,14,0,0,10.64,14.280000000000001,0.9570632716049381,0.14279999999999998,0.8039900496896714,0.2712931993250105,0.007280016040511253,0.0027129319932501,5,14.2,0.9452237654320987,0.142,9.4,125,212399885001,100,331.2194151878357,14.4,0.9674279835390944,0.144,11.8,126,374988376638,100,241.47222900390625,14.6,0.9598868312757199,0.146,10.8,127,431053971709,100,270.7084412574768,13.8,0.9584516460905347,0.138,10.2,128,208572859484,100,281.1102821826935,14.4,0.9543261316872429,0.144,11.0,129,847390121387,100,276.8808114528656,1401.3911790847778,331.2273106575012
28,58,5.8,5,2,12,14,10,11,10,11,12,13,11,12,10,12,11,14,12,13,0.11268117658368865,0.9162804210193285,13.423331864904267,11,14,0,0,9.64,11.88,0.9427191358024689,0.11879999999999999,1.2611106216347556,0.20396078054371114,0.008812904927713491,0.0020396078054371117,5,11.6,0.9390843621399176,0.116,9.4,130,212399885001,100,292.31780433654785,11.8,0.9445936213991768,0.118,8.4,131,374988376638,100,253.74796676635742,12.0,0.9311522633744853,0.12,11.0,132,431053971709,100,321.0277760028839,11.8,0.958014403292181,0.118,8.2,133,208572859484,100,245.63740491867065,12.2,0.9407510288065841,0.122,11.2,134,847390121387,100,263.30770659446716,1376.038658618927,321.1943578720093
29,174,17.4,5,2,9,10,12,14,11,12,9,10,10,13,10,11,13,14,0,0,0.1,0.9286575808576218,10.611092124194574,0,0,0,0,7.359999999999999,10.0,0.951808201058201,0.1,1.0836973747315248,0.0,0.007716873400193023,0.0,5,10.0,0.955806878306878,0.1,6.4,135,212399885001,100,174.1862301826477,10.0,0.9562499999999999,0.1,7.2,136,374988376638,100,181.72648572921753,10.0,0.9398809523809522,0.1,6.2,137,431053971709,100,204.5054965019226,10.0,0.9610912698412698,0.1,9.2,138,208572859484,100,174.29617643356323,10.0,0.9460119047619047,0.1,7.8,139,847390121387,100,196.96783208847046,931.6822209358215,204.66418147087097
30,84,8.4,5,2,12,14,11,12,11,14,12,13,9,11,9,10,0,0,0,0,0.08239999999999999,0.8841385393976104,7.606886331559837,0,0,0,0,5.279999999999999,8.72,0.9355925925925923,0.08719999999999999,0.7756287771866125,0.16000000000000023,0.017151351064993974,0.0016000000000000014,5,8.6,0.9298688271604937,0.086,5.4,140,212399885001,100,247.40213203430176,8.6,0.9585030864197529,0.086,5.4,141,374988376638,100,205.5992934703827,8.8,0.9428703703703701,0.088,4.6,142,431053971709,100,231.48932671546936,8.6,0.9066126543209876,0.086,6.6,143,208572859484,100,291.18768787384033,9.0,0.9401080246913578,0.09,4.4,144,847390121387,100,226.20547032356262,1201.8839104175568,291.35706329345703
31,57,5.7,5,2,9,11,10,12,10,11,9,13,10,13,9,13,0,0,0,0,0.12068117658368865,0.9485462742826967,11.88363261480389,0,0,0,0,10.120000000000001,12.680000000000001,0.9651658950617283,0.1268,0.587877538267963,0.20396078054371142,0.005539873593010555,0.002039607805437116,5,12.6,0.9736419753086419,0.126,9.2,145,212399885001,100,190.55593299865723,12.4,0.9676388888888888,0.124,10.4,146,374988376638,100,206.56209897994995,12.6,0.958028549382716,0.126,11.0,147,431053971709,100,234.8365867137909,12.8,0.9603202160493827,0.128,10.0,148,208572859484,100,229.95735239982605,13.0,0.9661998456790123,0.13,10.0,149,847390121387,100,195.36701941490173,1057.2789905071259,234.97309160232544
32,171,17.1,5,2,11,14,9,10,12,14,9,10,10,11,11,14,10,11,13,14,0.13,0.9341292840545272,12.706122985330747,0,0,0,0,9.6,13.0,0.9546608796296295,0.13,1.0353743284435828,0.0,0.006843865191700781,0.0,5,13.0,0.9533912037037036,0.13,10.0,150,212399885001,100,205.75029706954956,13.0,0.9588888888888887,0.13,9.6,151,374988376638,100,218.67371916770935,13.0,0.9427835648148147,0.13,9.6,152,431053971709,100,232.5431661605835,13.0,0.9632349537037035,0.13,7.8,153,208572859484,100,211.20835280418396,13.0,0.955005787037037,0.13,11.0,154,847390121387,100,198.14912128448486,1066.3246564865112,232.72965502738953
33,21,2.1,5,2,11,14,9,10,9,11,12,14,9,12,9,13,10,11,9,13,0.10052122461732038,0.9148771297358066,12.25780214904161,0,0,0,0,7.8,10.64,0.9602690972222222,0.10640000000000001,1.4859340496805367,0.1959591794226542,0.01513065582880521,0.0019595917942265445,5,10.6,0.9857638888888889,0.106,5.6,155,212399885001,100,209.00320100784302,10.4,0.9639756944444444,0.104,10.2,156,374988376638,100,256.70124793052673,10.6,0.9416666666666667,0.106,8.0,157,431053971709,100,371.3888740539551,10.6,0.9612442129629628,0.106,8.0,158,208572859484,100,290.5119972229004,11.0,0.948695023148148,0.11,7.2,159,847390121387,100,321.65621304512024,1449.2615332603455,371.5317630767822
34,17,1.7,5,2,9,11,11,13,10,11,9,13,10,11,9,11,0,0,0,0,0.050681176583688654,0.8912157983047735,5.562126456962975,0,0,0,0,3.6799999999999997,5.680000000000001,0.9345023148148147,0.056799999999999996,0.6273754856543251,0.20396078054371133,0.014428838836680422,0.002039607805437114,5,5.6,0.912673611111111,0.056,2.8,160,212399885001,100,338.38032269477844,5.6,0.9266666666666666,0.056,3.4,161,374988376638,100,309.73283553123474,6.0,0.944085648148148,0.06,4.4,162,431053971709,100,274.47120475769043,5.4,0.9343055555555555,0.054,4.4,163,208572859484,100,273.66375613212585,5.8,0.9547800925925926,0.058,3.4,164,847390121387,100,238.29312324523926,1434.5412423610687,338.38936161994934
