,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
20,197,19.7,5,1,11,12,9,12,11,14,9,10,10,11,10,13,9,10,0.3976,0.9401727783717237,16.152773891679267,10,14,10,13,0,0,15.16,20.04,0.9445509259259259,0.4008,0.4963869458396343,0.07999999999999971,0.0021890737771011193,0.0016000000000000014,5,20.0,0.9418904320987654,0.4,15.4,5.0,440522424025.0,50.0,183.14263796806335,20.0,0.9448739711934154,0.4,15.0,6.0,238603274742.0,50.0,178.11703205108643,20.2,0.9484876543209876,0.404,14.6,7.0,558972734419.0,50.0,170.9018361568451,20.0,0.9437731481481482,0.4,16.0,8.0,246004124312.0,50.0,176.64411735534668,20.0,0.9437294238683127,0.4,14.8,9.0,975157925650.0,50.0,177.74259567260742,886.548219203949,0.001779317855834961
21,97,9.7,5,1,12,14,10,12,9,12,10,11,9,13,10,13,11,14,0.3748133481811617,0.9384987346833226,17.10317773150614,12,13,12,14,0,0,13.64,19.04,0.960841563786008,0.38079999999999997,1.7315888657530691,0.14966629547095714,0.011171414551342726,0.0029933259094191557,5,19.2,0.9741666666666665,0.384,15.4,15.0,440522424025.0,50.0,149.22576212882996,19.0,0.9710493827160493,0.38,12.6,16.0,238603274742.0,50.0,158.16039967536926,19.2,0.94866512345679,0.384,13.6,17.0,558972734419.0,50.0,168.94821429252625,19.0,0.9632098765432097,0.38,11.0,18.0,246004124312.0,50.0,169.68162989616394,18.8,0.947116769547325,0.376,15.6,19.0,975157925650.0,50.0,190.80133700370789,836.8173429965973,0.0014188289642333984
22,178,17.8,5,1,9,11,10,12,11,13,9,11,9,11,9,11,9,12,0.34,0.9447599437473051,16.193499633967768,11,13,0,0,0,0,13.120000000000001,17.0,0.9613252314814813,0.34,1.5367498169838838,0.0,0.008282643867088116,0.0,5,17.0,0.9643634259259258,0.34,13.0,100.0,440522424025.0,50.0,139.93226313591003,17.0,0.9721180555555555,0.34,13.8,101.0,238603274742.0,50.0,123.4009780883789,17.0,0.9643576388888888,0.34,14.4,102.0,558972734419.0,50.0,133.1895616054535,17.0,0.9471527777777777,0.34,10.2,103.0,246004124312.0,50.0,160.69456243515015,17.0,0.9586342592592592,0.34,14.2,104.0,975157925650.0,50.0,145.51356482505798,702.7309300899506,160.7158179283142
23,199,19.9,5,1,12,14,9,10,11,12,12,14,11,13,0,0,0,0,0.16,0.9190705711892,7.848555091608831,0,0,0,0,0,0,5.6,8.0,0.94285,0.16,1.1242775458044156,0.0,0.01188971440539999,0.0,5,8.0,0.9343333333333332,0.16,5.2,105.0,440522424025.0,50.0,125.70275831222534,8.0,0.9633888888888889,0.16,7.2,106.0,238603274742.0,50.0,104.8086211681366,8.0,0.9359444444444442,0.16,4.2,107.0,558972734419.0,50.0,120.80380582809448,8.0,0.9315833333333332,0.16,4.8,108.0,246004124312.0,50.0,125.78914785385132,8.0,0.9489999999999998,0.16,6.6,109.0,975157925650.0,50.0,113.05420279502869,590.1585359573364,126.03148150444031
24,51,5.1,5,2,11,14,11,12,10,11,10,13,11,12,0,0,0,0,0.12544156877825152,0.9356030748279929,6.65175061635108,0,0,0,0,0,0,5.08,6.68,0.9462370370370369,0.1336,0.7858753081755399,0.20396078054371133,0.005316981104521975,0.004079215610874232,5,6.8,0.9514259259259257,0.136,4.4,110.0,440522424025.0,50.0,129.72515869140625,6.4,0.9535,0.128,4.6,111.0,238603274742.0,50.0,134.6203649044037,6.6,0.9400555555555554,0.132,5.0,112.0,558972734419.0,50.0,139.45347356796265,7.0,0.9444814814814814,0.14,4.8,113.0,246004124312.0,50.0,124.03510785102844,6.6,0.9417222222222221,0.132,6.6,114.0,975157925650.0,50.0,132.2117908000946,660.0458958148956,139.46761441230774
25,97,9.7,5,2,12,14,10,12,9,12,10,11,9,13,10,13,11,14,0.3568445824720007,0.9533981088661065,16.361480973777006,12,14,0,0,0,0,14.2,18.2,0.970449074074074,0.364,1.0807404868885035,0.17888543819998254,0.008525482603983748,0.0035777087639996667,5,18.0,0.9641811342592592,0.36,15.4,115.0,440522424025.0,50.0,157.42754364013672,18.4,0.9864525462962962,0.368,13.0,116.0,238603274742.0,50.0,118.36961698532104,18.4,0.9698929398148147,0.368,13.6,117.0,558972734419.0,50.0,140.8497371673584,18.0,0.9694357638888889,0.36,13.4,118.0,246004124312.0,50.0,148.5019326210022,18.2,0.9622829861111111,0.364,15.6,119.0,975157925650.0,50.0,149.8877501487732,715.0365805625916,157.43441677093506
26,51,5.1,5,2,10,13,10,11,10,11,10,13,0,0,0,0,0,0,0.1149403557437306,0.9345945305437482,5.914990196040739,0,0,0,0,0,0,4.640000000000001,6.0,0.9679722222222221,0.12,0.6374950980203691,0.12649110640673528,0.01668884583923697,0.0025298221281347018,5,6.0,0.9601157407407406,0.12,4.2,120.0,440522424025.0,50.0,108.44375705718994,6.0,0.9895138888888888,0.12,5.8,121.0,238603274742.0,50.0,83.47843503952026,6.2,0.9855787037037037,0.124,4.0,122.0,558972734419.0,50.0,90.12402319908142,6.0,0.9581249999999998,0.12,4.8,123.0,246004124312.0,50.0,101.98861861228943,5.8,0.9465277777777777,0.116,4.4,124.0,975157925650.0,50.0,122.29795622825623,506.3327901363373,122.56442070007324
27,106,10.6,5,2,10,11,9,11,12,13,12,13,11,13,12,13,10,13,0.19061343957545482,0.9163099500239085,10.004344406907359,0,0,0,0,0,0,7.24,10.2,0.9493664021164019,0.20400000000000001,1.3821722034536794,0.3346640106136303,0.016528226046246684,0.006693280212272601,5,10.0,0.9340542328042327,0.2,8.6,125.0,440522424025.0,50.0,152.9887444972992,10.2,0.9667592592592591,0.204,5.8,126.0,238603274742.0,50.0,114.08024168014526,10.2,0.9384589947089944,0.204,6.2,127.0,558972734419.0,50.0,148.94107460975647,10.8,0.9720965608465607,0.216,6.4,128.0,246004124312.0,50.0,108.53734302520752,9.8,0.9354629629629629,0.196,9.2,129.0,975157925650.0,50.0,145.56167316436768,670.1090769767761,152.99888944625854
28,163,16.3,5,2,9,11,10,13,10,14,10,11,9,10,10,12,11,14,0.35448081641154683,0.9500681239092936,17.143898015155642,10,12,0,0,0,0,14.319999999999999,17.919999999999998,0.96553125,0.35839999999999994,1.4119490075778227,0.09797958971132678,0.00773156304535317,0.001959591794226544,5,18.0,0.9637876157407406,0.36,16.4,130.0,440522424025.0,50.0,139.46997499465942,18.0,0.9792621527777776,0.36,14.0,131.0,238603274742.0,50.0,123.7476236820221,17.8,0.9599016203703703,0.356,12.0,132.0,558972734419.0,50.0,155.17135548591614,18.0,0.9570891203703703,0.36,14.6,133.0,246004124312.0,50.0,156.35018372535706,17.8,0.9676157407407406,0.356,14.6,134.0,975157925650.0,50.0,153.89090180397034,728.630039691925,156.5193305015564
29,86,8.6,5,2,11,13,12,13,9,10,0,0,0,0,0,0,0,0,0.064,0.8830965183376653,3.31214034007931,0,0,0,0,0,0,2.4,3.3600000000000003,0.9163333333333332,0.06720000000000001,0.4560701700396551,0.0799999999999999,0.016618407497833932,0.0016000000000000014,5,3.4,0.901898148148148,0.068,1.6,135.0,440522424025.0,50.0,111.2569932937622,3.4,0.9271296296296296,0.068,2.2,136.0,238603274742.0,50.0,97.34344172477722,3.4,0.9343981481481481,0.068,2.8,137.0,558972734419.0,50.0,97.684574842453,3.4,0.8914351851851849,0.068,2.6,138.0,246004124312.0,50.0,109.09079384803772,3.2,0.9268055555555553,0.064,2.8,139.0,975157925650.0,50.0,105.94218349456787,521.317987203598,111.26495361328125
